City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Necochea,AR,-38.5473,-58.7368,47.95,83,100,21.54,overcast clouds
167,Avera,US,33.194,-82.5271,93.25,52,100,5.5,overcast clouds
168,Tulun,RU,54.5611,100.5792,56.25,91,100,3.2,overcast clouds
169,Marau,BR,-28.4492,-52.2,68.47,76,100,11.88,moderate rain
170,Sioux Lookout,CA,50.1001,-91.917,62.44,66,82,10.22,broken clouds
171,Arlit,NE,18.7369,7.3853,86.63,48,100,28.41,overcast clouds
172,Bouna,CI,9.2667,-3.0,72.5,92,88,5.68,light rain
173,Bethel,US,41.3712,-73.414,90.05,71,100,1.01,overcast clouds
174,Labuhan Deli,ID,3.7278,98.6738,77.29,100,40,3.44,light rain
175,Katsuura,JP,35.1333,140.3,79.38,91,64,8.99,broken clouds
176,Kahului,US,20.8947,-156.47,84.97,74,30,10.0,scattered clouds
177,Komsomolets,KZ,53.7453,62.0708,56.95,95,100,14.29,light rain
178,Glace Bay,CA,46.1969,-59.957,75.85,67,69,5.01,broken clouds
179,Gboko,NG,7.3179,8.9951,71.26,94,100,10.87,overcast clouds
180,Carballo,ES,43.213,-8.691,69.22,90,5,1.97,clear sky
181,Harrison,US,30.4091,-89.0436,87.82,73,75,3.44,broken clouds
182,Mecca,SA,21.4267,39.8261,92.8,28,100,4.92,overcast clouds
183,Tuktoyaktuk,CA,69.4541,-133.0374,41.18,87,100,24.2,light rain
184,Plzen,CZ,49.7475,13.3776,70.48,65,86,4.0,overcast clouds
185,Cabinda,AO,-5.55,12.2,70.74,85,24,5.86,few clouds
186,Aswan,EG,24.0934,32.907,93.87,16,84,9.31,broken clouds
187,Ikalamavony,MG,-21.15,46.5833,60.73,78,30,8.32,scattered clouds
188,Sergeyevka,KZ,53.88,67.4158,60.93,97,100,11.52,overcast clouds
189,Kirakira,SB,-10.4544,161.9205,79.05,85,79,8.88,broken clouds
190,Chanute,US,37.6792,-95.4572,89.28,55,40,5.75,scattered clouds
191,New Norfolk,AU,-42.7826,147.0587,42.3,84,7,1.01,clear sky
192,Port Lincoln,AU,-34.7333,135.8667,52.68,84,98,13.22,overcast clouds
193,Atuona,PF,-9.8,-139.0333,76.73,77,28,24.96,light rain
194,Castro,BR,-24.7911,-50.0119,68.83,54,100,8.08,overcast clouds
